Generación,Fitness Promedio,Mejor Fitness
32,1050.0000,448.6000,318.4322,-57.28
33,1050.0000,408.1000,302.7423,-61.13
34,1050.0000,359.9000,251.3891,-65.72
35,1050.0000,414.7000,247.5185,-60.50
36,1050.0000,383.2000,232.6795,-63.50
37,1050.0000,369.9000,262.7384,-64.77
38,1050.0000,418.5000,225.0383,-60.14
39,1050.0000,421.9000,246.6068,-59.82
40,1050.0000,452.7000,225.7060,-56.89
41,1050.0000,442.9000,223.3497,-57.82
42,1050.0000,377.7000,225.7149,-64.03
43,600.0000,427.1000,187.4916,-59.32
44,670.0000,450.9000,211.1414,-24.85
45,670.0000,440.0000,210.5018,-34.33
46,600.0000,408.8000,216.4199,-38.99
47,600.0000,409.5000,221.1182,-31.75
48,600.0000,415.0000,209.1124,-30.83
49,1050.0000,491.3000,195.4938,-18.12
50,1050.0000,471.5000,231.0741,-55.10
51,1050.0000,474.1000,260.3012,-54.85
52,1050.0000,494.5000,259.3420,-52.90
53,1050.0000,534.5000,306.5179,-49.10
54,1050.0000,514.1000,329.4703,-51.04
55,1050.0000,512.7000,329.8457,-51.17
56,1050.0000,447.7000,338.7510,-57.36
57,1050.0000,477.0000,331.8132,-54.57
58,1050.0000,465.7000,354.9676,-55.65
59,1050.0000,521.6000,327.7521,-50.32
60,1050.0000,480.9000,364.3140,-54.20
61,1050.0000,486.2000,320.4880,-53.70
62,1050.0000,510.9000,362.5020,-51.34
63,1050.0000,510.5000,344.2183,-51.38
64,1050.0000,576.5000,383.8519,-45.10
65,1050.0000,512.3000,372.2891,-51.21
66,1050.0000,562.0000,359.4120,-46.48
67,1050.0000,583.1000,344.0318,-44.47
68,1050.0000,498.6000,348.1911,-52.51
69,1050.0000,482.5000,343.2918,-54.05
70,1050.0000,491.2000,320.5691,-53.22
71,1050.0000,585.7000,348.3361,-44.22
72,1050.0000,541.5000,370.9046,-48.43
73,1050.0000,544.6000,355.1040,-48.13
74,1050.0000,525.5000,381.3492,-49.95
75,1050.0000,649.0000,374.7919,-38.19
76,1050.0000,584.5000,401.2546,-44.33
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Porcentaje Mejora Promedio
1,330.0000,17.6000,66.4021,0.00
2,330.0000,29.7000,80.9902,-91.00
3,330.0000,44.0000,107.2147,-86.67
4,330.0000,56.1000,115.6256,-83.00
5,330.0000,71.5000,118.6012,-78.33
6,330.0000,58.3000,109.6750,-82.33
7,330.0000,77.0000,121.4990,-76.67
8,330.0000,82.5000,123.5971,-75.00
9,330.0000,85.8000,124.0418,-74.00
10,330.0000,84.7000,132.5534,-74.33
11,330.0000,115.5000,149.3126,-65.00
12,330.0000,107.8000,142.9831,-67.33
13,330.0000,95.7000,141.6440,-71.00
14,330.0000,112.2000,141.2804,-66.00
15,330.0000,92.4000,136.2580,-72.00
16,330.0000,77.0000,136.0625,-76.67
17,330.0000,89.1000,134.6725,-73.00
18,330.0000,75.9000,130.5668,-77.00
19,330.0000,60.5000,120.1218,-81.67
20,385.0000,110.0000,154.3924,-66.67
21,385.0000,92.4000,140.1971,-76.00
22,385.0000,125.4000,152.8327,-67.43
23,440.0000,150.7000,165.2967,-60.86
24,440.0000,173.8000,171.6000,-60.50
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Porcentaje Mejora Promedio
1,330.0000,28.6000,67.1270,0.00
2,330.0000,47.3000,87.6625,65.38
3,330.0000,62.8500,100.9041,32.88
4,495.0000,71.4000,109.1171,13.60
5,495.0000,97.2500,127.6291,36.20
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Porcentaje Mejora Promedio
1,220.0000,22.0000,51.0049,0.00
2,330.0000,45.6500,77.8031,107.50
3,330.0000,61.0500,94.5920,33.73
4,330.0000,101.7500,113.8845,66.67
5,330.0000,122.1000,129.5901,20.00
6,330.0000,129.2500,133.2261,5.86
7,330.0000,142.6000,134.1426,10.33
8,330.0000,142.6000,133.8142,0.00
9,330.0000,128.7000,137.6583,-9.75
10,330.0000,149.6000,140.0244,16.24
11,330.0000,138.0500,141.8307,-7.72
