Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
72,34278,99.09,61.58312836792021,1.254365057319824,0,24,8,500,100.0,99.78,97.25,100.0,100.0,100.0,100.0,95.69
73,33875,100.0,63.51427120536094,1.22450954264339,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
74,35487,99.75,62.05769885962376,1.1176374962970592,0,21,8,500,100.0,100.0,98.03,100.0,100.0,100.0,100.0,100.0
75,33875,96.72,62.58741531273611,1.1381340132647304,0,25,8,500,100.0,85.55,100.0,100.0,90.8,100.0,100.0,97.37
76,35084,99.68,62.81423448510442,1.2197558643259936,0,22,8,500,100.0,100.0,100.0,100.0,100.0,98.98,100.0,98.5
77,33875,100.0,62.51847634776426,1.1129753910729474,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
78,34278,97.86,62.75341556394203,1.107236687523631,0,24,8,500,100.0,100.0,100.0,100.0,99.74,91.39,91.73,100.0
79,34681,100.0,61.22034970156772,1.260724840845683,0,23,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
80,34681,99.84,61.218834167828135,1.1099870831995229,0,23,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.7
81,33875,99.95,62.645271344861776,1.225616410472452,0,25,8,500,100.0,100.0,100.0,99.61,100.0,100.0,100.0,100.0
82,33875,98.9,62.57080210856712,1.24223951307613,0,25,8,500,94.52,100.0,100.0,100.0,100.0,96.64,100.0,100.0
83,33875,99.88,61.98968234561713,1.210418290850139,0,25,8,500,100.0,100.0,100.0,100.0,99.05,100.0,100.0,100.0
84,33875,100.0,61.6829905184663,1.2241420223658743,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
85,33875,99.29,62.05892011451179,1.1746951637927203,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.3
86,36696,99.75,63.05981233218984,1.1537669219851852,0,18,8,500,100.0,100.0,100.0,98.03,100.0,100.0,100.0,100.0
87,33875,100.0,61.98170991918051,1.1355100161162428,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
88,33875,100.0,63.68793636711006,1.2156371276733795,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
89,33875,99.32,61.74535687975317,1.1154237982125352,0,25,8,500,94.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0
90,33875,100.0,61.99826994122376,1.203166598435729,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
91,33875,100.0,62.82305673224672,1.267150557485198,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
92,33875,98.97,62.98016004718475,1.1749866996630394,0,25,8,500,100.0,100.0,100.0,100.0,98.06,100.0,98.33,95.34
93,33875,98.75,63.63337767688088,1.1283876472021053,0,25,8,500,94.68,100.0,99.33,99.79,100.0,100.0,100.0,96.17
94,33875,100.0,63.16598663192378,1.103005662351935,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
95,33875,99.56,62.479607056010174,1.165323391619251,0,25,8,500,99.74,100.0,100.0,100.0,100.0,100.0,96.75,100.0
96,35084,99.17,63.502571830626216,1.194728274301969,0,22,8,500,100.0,93.33,100.0,100.0,100.0,100.0,100.0,100.0
97,33875,99.92,62.47234875481945,1.2049869559652062,0,25,8,500,100.0,99.33,100.0,100.0,100.0,100.0,100.0,100.0
98,35890,98.42,62.01731074690251,1.1582745019260112,0,20,8,500,91.49,100.0,97.25,100.0,100.0,100.0,100.0,98.58
99,33875,99.66,62.1848824736602,1.188861009862067,0,25,8,500,100.0,100.0,97.28,100.0,100.0,100.0,100.0,100.0
100,33875,98.58,61.90102143173875,1.1025691276419685,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,88.67,100.0
101,33875,99.6,62.98310642940152,1.1406619870980848,0,25,8,500,100.0,96.8,100.0,100.0,100.0,100.0,100.0,100.0
102,33875,99.92,62.99400512238725,1.1333076007879677,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,99.37,100.0
103,33875,100.0,62.51486197679274,1.1652589018467183,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
104,33875,100.0,63.10845376421732,1.1836637361413047,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
105,34681,100.0,63.68145310241465,1.1885978625166522,0,23,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
106,34278,99.98,62.28406207958549,1.14360671704734,0,24,8,500,100.0,100.0,99.8,100.0,100.0,100.0,100.0,100.0
107,33875,99.53,62.95607348099183,1.138872118976824,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.24
